City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
Jamestown,0,US,1646454527,56,42.097,-79.2353,27.34,3.44
Bluff,100,NZ,1646454527,70,-46.6,168.3333,71.8,8.59
Bredasdorp,12,ZA,1646454528,94,-34.5322,20.0403,61.29,1.14
Chokurdakh,38,RU,1646454529,99,70.6333,147.9167,-19.28,1.21
Sokolo,91,ML,1646454529,13,14.7328,-6.1219,72.88,9.17
City of San Pedro,40,PH,1646454530,60,14.35,121.0167,88.32,4.61
Arraial do Cabo,20,BR,1646454531,91,-22.9661,-42.0278,76.08,16.69
Rikitea,16,PF,1646454531,74,-23.1203,-134.9692,79.66,20.0
Tasiilaq,100,GL,1646454532,97,65.6145,-37.6368,30.36,21.3
Butaritari,29,KI,1646454532,77,3.0707,172.7902,81.81,14.58
Saldanha,0,ZA,1646454533,86,-33.0117,17.9442,60.85,10.85
Portland,20,US,1646454449,82,45.5234,-122.6762,47.34,10.36
Xiaoshi,5,CN,1646454534,34,41.2971,124.1209,33.82,15.26
Dikson,97,RU,1646454534,99,73.5069,80.5464,-25.76,8.32
Saint Paul Harbor,100,US,1646454535,81,57.79,-152.4072,38.71,10.36
Mataura,100,NZ,1646454535,36,-46.1927,168.8643,71.47,2.62
Vardø,100,NO,1646454536,76,70.3705,31.1107,27.63,17.11
Barrow,0,US,1646454536,78,71.2906,-156.7887,8.62,12.66
Khorramshahr,22,IR,1646454536,71,30.4397,48.1664,49.96,2.3
Atuona,14,PF,1646454537,78,-9.8,-139.0333,78.69,16.08
Tiksi,100,RU,1646454538,94,71.6872,128.8694,-10.98,0.78
Newport,39,GB,1646454538,83,51.5877,-2.9984,41.86,7.58
Lakselv,100,NO,1646454539,80,70.0513,24.9718,24.62,13.8
Klaksvík,9,FO,1646454539,70,62.2266,-6.589,40.12,19.04
Isiro,63,CD,1646454540,72,2.7739,27.616,66.4,3.18
Maceió,75,BR,1646454540,88,-9.6658,-35.7353,74.64,3.44
Lüderitz,0,NA,1646454541,77,-26.6481,15.1594,63.59,13.22
Punta Arenas,20,CL,1646454542,76,-53.15,-70.9167,46.51,11.5
Ushuaia,100,AR,1646454542,93,-54.8,-68.3,44.26,20.71
Kapaa,100,US,1646454326,72,22.0752,-159.319,75.18,8.05
Hithadhoo,60,MV,1646454543,67,-0.6,73.0833,82.6,4.45
Yangi Marg`ilon,100,UZ,1646454544,35,40.4272,71.7189,56.62,4.61
Kralendijk,99,BQ,1646454545,78,12.15,-68.2667,78.78,10.36
Sibolga,80,ID,1646454545,60,1.7427,98.7792,86.65,3.38
Port Alfred,13,ZA,1646454546,86,-33.5906,26.891,65.14,5.55
Hermanus,0,ZA,1646454546,91,-34.4187,19.2345,63.9,9.57
New Norfolk,100,AU,1646454547,32,-42.7826,147.0587,80.65,2.95
Meulaboh,99,ID,1646454547,71,4.1363,96.1285,84.13,4.14
Praia,20,CV,1646454548,77,14.9215,-23.5087,68.54,18.41
Huilong,4,CN,1646454548,52,31.8111,121.655,58.98,17.0
Yellowknife,100,CA,1646454549,85,62.456,-114.3525,14.56,2.3
Hobart,40,AU,1646454500,55,-42.8794,147.3294,81.01,16.11
Qaanaaq,0,GL,1646454550,66,77.484,-69.3632,0.63,6.93
Kropotkin,99,RU,1646454550,77,45.4375,40.5756,34.09,22.21
Mrakovo,100,RU,1646454551,94,52.7161,56.6244,34.41,17.29
Belmonte,94,BR,1646454551,84,-15.8631,-38.8828,81.1,6.24
Port Elizabeth,40,ZA,1646454552,82,-33.918,25.5701,61.09,6.91
Cape Town,0,ZA,1646454552,74,-33.9258,18.4232,67.1,8.05
Mount Gambier,100,AU,1646454477,73,-37.8333,140.7667,67.91,16.11
Yar-Sale,86,RU,1646454553,99,66.8333,70.8333,-19.32,9.19
Wajima,75,JP,1646454553,93,37.4,136.9,47.08,12.66
Albany,11,US,1646454377,69,42.6001,-73.9662,19.53,3.85
Narsaq,99,GL,1646454554,75,60.9167,-46.05,34.02,4.27
Puerto Ayora,87,EC,1646454554,95,-0.7393,-90.3518,74.55,3.24
Deputatsky,100,RU,1646454555,93,69.3,139.9,-9.94,0.92
Constitución,0,CL,1646454555,75,-35.3333,-72.4167,55.45,12.41
Berlevåg,100,NO,1646454556,79,70.8578,29.0864,25.9,13.42
Ngama,46,TD,1646454557,25,11.7833,17.1667,81.97,4.85
Saint George,100,US,1646454558,46,37.1041,-113.5841,54.95,8.05
Akureyri,75,IS,1646454551,64,65.6835,-18.0878,35.53,6.91
Loukhi,100,RU,1646454558,97,66.0764,33.0381,10.13,3.56
Longyearbyen,40,SJ,1646454559,68,78.2186,15.6401,22.84,18.41
Bethel,0,US,1646454559,61,41.3712,-73.414,28.94,0.0
Russell,83,US,1646454560,58,32.3502,-85.1999,67.23,5.39
